Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6176982733	0.5531196594	3.5315697193
0.6177098312	0.5547935367	3.5306713581
0.6177213973	0.5559660792	3.5300421715
0.6177329674	0.5577564240	3.5290815830
0.6177445568	0.5602957606	3.5277194977
0.6177561229	0.8182033896	3.3913569450
0.6177676890	0.5703756213	3.5223164558
0.6177792805	2.3053889275	2.6767654419
0.6177908465	1.1982322931	3.1973998547
0.6178024126	1.6282068491	2.9875836372
0.6178140014	0.5738444924	3.5204584599
0.6178255730	0.5724328756	3.5212144852
0.6178371388	0.5704330802	3.5222856998
0.6178487071	0.5706929564	3.5221464634
0.6178602963	0.5670700669	3.5240876675
0.6178718666	0.5668720603	3.5241937637
0.6178834327	1.0937849283	3.2498953342
0.6178950159	2.1657404900	2.7389664650
0.6179065822	0.6338481307	3.4884321690
0.6179181776	2.3234157562	2.6688060760
0.6179297209	1.3838069439	3.1056160927
0.6179413058	1.6414362192	2.9812853336
0.6179528715	0.5646249056	3.5253982544
0.6179644656	1.0621862411	3.2658970356
0.6179760317	0.5643513799	3.5255448818
0.6179876058	0.9634495378	3.3162605762
0.6179991719	0.5624436140	3.5265676975
0.6180107400	0.5621928573	3.5267021656
0.6180223291	0.5612826943	3.5271902084
0.6180339043	1.8861863613	2.8664145470
0.6180454934	0.9957242608	3.2997372150
0.6180570398	1.4670321941	3.0650629997
0.6180686290	1.1183550358	3.2374916077
0.6180801986	0.8036407232	3.3989531994
0.6180917650	0.9951994419	3.3000054359
0.6181033329	0.5611141920	3.5272805691
0.6181149222	0.5613796115	3.5271382332
0.6181264914	0.5601499677	3.5277976990
0.6181380577	0.5607967973	3.5274507999
0.6181496260	0.5602473021	3.5277454853
0.6181612152	0.5600917339	3.5278289318
0.6181727919	0.5594920516	3.5281505585
0.6181843579	0.5599823594	3.5278875828
0.6181959266	0.5592453480	3.5282828808
0.6182075158	0.5599356890	3.5279126167
0.6182190685	0.5589671135	3.5284321308
0.6182306577	0.5595151782	3.5281381607
0.6182422237	0.5586439967	3.5286054611
0.6182537898	0.5592160225	3.5282986164
0.6182653864	0.5584782362	3.5286943913
0.6182769528	0.5586275458	3.5286142826
0.6182885318	0.5579613447	3.5289716721
0.6183000979	0.5579791069	3.5289621353
0.6183116613	0.5573937893	3.5292761326
0.6183232508	0.5580742359	3.5289111137
0.6183348235	0.5572969317	3.5293281078
0.6183463895	0.5576662421	3.5291299820
0.6183579557	0.5569147468	3.5295331478
0.6183695449	0.5571240783	3.5294208527
0.6183811145	0.5565286279	3.5297403336
0.6183927037	0.5570076108	3.5294833183
0.6184042483	0.5561690927	3.5299332142
0.6184158372	0.5566094518	3.5296969414
0.6184274139	0.5563530922	3.5298345089
0.6184389801	0.5562384129	3.5298960209
0.6184505637	0.5553368926	3.5303797722
0.6184621301	0.5558332205	3.5301134586
0.6184736982	0.5555999279	3.5302386284
0.6184852877	0.5556674600	3.5302023888
0.6184968601	0.5550592542	3.5305287838
0.6185084265	0.5551116467	3.5305006504
0.6185200074	0.5550094843	3.5305554867
0.6185315735	0.5549939275	3.5305638313
0.6185431424	0.5549383759	3.5305936337
0.6185547315	0.5546682477	3.5307385921
0.6185662880	0.5542835593	3.5309450626
0.6185778768	0.5542048812	3.5309872627
0.6185894313	0.5545407534	3.5308070183
0.6186010204	0.5541502833	3.5310165882
0.6186126075	0.5543781519	3.5308942795
0.6186241733	0.5538654923	3.5311694145
0.6186357427	0.5543572903	3.5309054852
0.6186473088	0.5537504554	3.5312311649
0.6186588771	0.5539076924	3.5311467648
0.6186704666	0.5536504984	3.5312848091
0.6186820396	0.5537224412	3.5312461853
0.6186936284	0.5535243750	3.5313525200
0.6187051906	0.5535825491	3.5313212872
0.6187167566	0.5533764362	3.5314319134
0.6187283433	0.5534319282	3.5314021111
0.6187399093	0.5529122353	3.5316810608
0.6187514809	0.5533102155	3.5314674377
0.6187630469	0.5529038310	3.5316855907
0.6187746154	0.5533018112	3.5314719677
0.6187862043	0.5525888801	3.5318546295
0.6187977798	0.5527225733	3.5317828655
0.6188093455	0.5525791049	3.5318598747
0.6188209116	0.5525093675	3.5318973064
0.6188325007	0.5520026088	3.5321693420
0.6188440775	0.5521873832	3.5320701599
0.6188556435	0.5518893600	3.5322301388
0.6188672096	0.5519732833	3.5321850777
0.6188787988	0.5515753627	3.5323987007
0.6188903613	0.5517659187	3.5322964191
0.6189019271	0.5516237617	3.5323727131
0.6189135185	0.5515686870	3.5324022770
0.6189250847	0.5512560606	3.5325701237
0.6189366504	0.5512058735	3.5325970650
0.6189482398	0.5513865948	3.5325000286
0.6189597938	0.5507453680	3.5328443050
0.6189713830	0.5506947041	3.5328714848
0.6189829558	0.5511441231	3.5326302052
0.6189945220	0.5507582426	3.5328373909
0.6190061111	0.5508110523	3.5328090191
0.6190176772	0.5505210757	3.5329647064
0.6190292540	0.5508635044	3.5327808857
0.6190408200	0.5507875681	3.5328216553
0.6190524135	0.5506614447	3.5328893661
0.6190639795	0.5507231355	3.5328562260
0.6190755495	0.5505614877	3.5329430103
0.6190871153	0.5505806208	3.5329327583
0.6190986817	0.5502901673	3.5330886841
0.6191102708	0.5503252745	3.5330698490
0.6191218315	0.5502453446	3.5331127644
0.6191334437	0.5504083037	3.5330252647
0.6191449764	0.5501050353	3.5331881046
0.6191565652	0.5501796007	3.5331480503
0.6191681374	0.5502982140	3.5330843925
0.6191797035	0.5503208041	3.5330722332
0.6191912741	0.5504078865	3.5330255032
0.6192028632	0.5503807664	3.5330400467
0.6192144339	0.5503990054	3.5330302715
0.6192259999	0.5501391888	3.5331697464
0.6192375708	0.5503483415	3.5330574512
0.6192491600	0.5500748158	3.5332043171
0.6192607353	0.5501192212	3.5331804752
0.6192723015	0.5503461361	3.5330586433
0.6192838712	0.5502724051	3.5330982208
0.6192954369	0.5499669313	3.5332622528
0.6193070288	0.5504287481	3.5330142975
0.6193185949	0.5503168106	3.5330743790
0.6193301751	0.5504984260	3.5329768658
0.6193417413	0.5500446558	3.5332205296
0.6193533140	0.5506551862	3.5328927040
0.6193648799	0.5512591600	3.5325684547
0.6193764570	0.5511201620	3.5326430798
0.6193880463	2.3549127579	2.6549372673
0.6193996045	0.9325453043	3.3321378231
0.6194111938	2.3593821526	2.6529731750
0.6194227644	1.4134885073	3.0911102295
0.6194343303	1.9288244247	2.8467197418
0.6194458981	1.2491927147	3.1720068455
0.6194574873	0.5534368157	3.5313994884
0.6194690549	0.5533702374	3.5314352512
0.6194806442	0.5526146293	3.5318408012
0.6194921976	0.5560047030	3.5300214291
0.6195037868	2.8030388355	2.4627759457
0.6195153512	0.7495843768	3.4272577763
0.6195269173	3.1397268772	2.3245534897
0.6195384888	1.2164562941	3.1883025169
0.6195500780	1.6624019146	2.9713227749
0.6195616563	0.5514470339	3.5324676037
0.6195732222	1.3827807903	3.1061184406
0.6195847934	0.5511308312	3.5326373577
0.6195963827	0.5515589118	3.5324075222
0.6196079489	0.5515429378	3.5324161053
0.6196195151	0.5515402555	3.5324175358
0.6196310985	0.5517960787	3.5322802067
0.6196426644	0.5515531898	3.5324106216
0.6196542306	0.5517059565	3.5323286057
0.6196658201	0.5517987609	3.5322787762
0.6196773880	0.5516744256	3.5323455334
0.6196889542	0.5521527529	3.5320887566
0.6197005249	0.5523707867	3.5319716930
0.6197121141	0.5524640679	3.5319216251
0.6197236836	0.5520457029	3.5321462154
0.6197352497	0.5518258214	3.5322642326
0.6197468349	0.5518600345	3.5322458744
0.6197584011	0.5521727204	3.5320780277
0.6197699977	0.5522211194	3.5320520401
0.6197815639	0.5518076420	3.5322740078
0.6197931287	0.5519613028	3.5321915150
0.6198046948	0.5522402525	3.5320417881
0.6198162657	0.5520763397	3.5321297646
0.6198278549	0.5527136922	3.5317876339
0.6198394299	0.5537162423	3.5312495232
0.6198510194	0.5524414182	3.5319337845
0.6198625733	0.5842970014	3.5148642063
0.6198741394	0.5542577505	3.5309588909
0.6198857330	0.5528634191	3.5317072868
0.6198972992	0.5528473854	3.5317158699
0.6199088651	0.5528247356	3.5317280293
0.6199204313	0.5530850291	3.5315883160
0.6199320246	0.5527874231	3.5317480564
0.6199435910	0.5527763367	3.5317540169
0.6199551635	0.5533488989	3.5314466953
0.6199667527	1.1548786163	3.2191157341
0.6199783006	0.7225436568	3.4414803982
0.6199898902	1.1247832775	3.2342519760
0.6200014564	1.5580111742	3.0211577415
0.6200130225	1.9660134315	2.8296177387
0.6200246162	0.5537468791	3.5312330723
0.6200361827	0.5534821749	3.5313751698
0.6200477603	1.6737455130	2.9659421444
0.6200593493	0.5531485677	3.5315542221
0.6200708952	0.5534221530	3.5314073563
0.6200824844	0.5531560779	3.5315501690
0.6200940519	0.5530987978	3.5315809250
0.6201056184	0.5542346835	3.5309712887
0.6201172004	0.5534061790	3.5314159393
0.6201287666	0.5527363420	3.5317754745
0.6201403369	0.5532569289	3.5314960480
0.6201519264	0.5531823039	3.5315361023
0.6201634926	0.5535798669	3.5313227177
0.6201750588	0.5528682470	3.5317046642
0.6201866340	0.5531387925	3.5315594673
0.6201982233	0.5528402925	3.5317196846
0.6202098007	0.5531347990	3.5315616131
0.6202213672	0.5537193418	3.5312478542
0.6202329392	0.5534390807	3.5313982964
0.6202445051	1.2754044533	3.1590015888
0.6202560746	0.5539059639	3.5311477184
0.6202676638	0.5542848706	3.5309443474
0.6202792331	0.5541329384	3.5310258865
0.6202908223	0.5543466210	3.5309112072
0.6203023724	0.5540302992	3.5310809612
0.6203139616	0.5541968942	3.5309915543
0.6203255363	0.5542160273	3.5309813023
0.6203371252	0.5536669493	3.5312759876
0.6203486750	0.5534914732	3.5313701630
0.6203602412	0.5531187654	3.5315701962
0.6203718233	1.1193912029	3.2369692326
0.6203834125	2.0422255993	2.7947897911
0.6203949609	0.9940491319	3.3005933762
0.6204065501	1.1284091473	3.2324256897
0.6204181182	0.5566930175	3.5296521187
0.6204297074	0.5589978099	3.5284156799
0.6204412594	0.5602543950	3.5277416706
0.6204528489	0.7169158459	3.4444458485
0.6204644234	0.7637753487	3.4198107719
0.6204760127	0.5568516254	3.5295670033
0.6204875707	0.5624018312	3.5265901089
0.6204991369	0.5704815388	3.5222597122
0.6205107284	0.5662261248	3.5245399475
0.6205222943	0.5587066412	3.5285718441
0.6205338648	0.5544807911	3.5308392048
0.6205454309	0.5521402955	3.5320954323
0.6205570144	0.5514590144	3.5324611664
0.6205685802	0.5507293940	3.5328528881
0.6205801523	0.5507990718	3.5328154564
0.6205917180	0.5500459671	3.5332198143
0.6206033096	0.5501787066	3.5331485271
0.6206148758	0.5575275421	3.5292043686
0.6206264438	0.5499314070	3.5332813263
0.6206380333	0.5497613549	3.5333726406
0.6206496041	0.5497684479	3.5333688259
0.6206611703	0.5496317148	3.5334422588
0.6206727512	0.5494780540	3.5335247517
0.6206843173	0.5497311354	3.5333888531
0.6206958881	0.5498248339	3.5333385468
0.6207074774	0.5494296551	3.5335507393
0.6207190474	0.5493785739	3.5335781574
0.6207306135	0.5490722656	3.5337426662
0.6207421884	0.5493599772	3.5335881710
0.6207537548	0.5493018031	3.5336194038
0.6207653332	0.5488982201	3.5338361263
0.6207769225	0.5492534041	3.5336453915
0.6207884886	0.5492618084	3.5336408615
0.6208000548	0.5492769480	3.5336327553
0.6208116353	0.5492254496	3.5336604118
0.6208232015	0.5490282774	3.5337662697
0.6208347918	0.5486895442	3.5339481831
0.6208463576	0.5490411520	3.5337593555
0.6208579227	0.5485514402	3.5340223312
0.6208695120	0.5489754677	3.5337946415
0.6208810678	0.5487352610	3.5339236259
0.6208926570	0.5489274859	3.5338203907
0.6209042347	0.5491943359	3.5336771011
0.6209158008	0.5490646958	3.5337467194
0.6209273735	0.5488804579	3.5338456631
0.6209389396	0.5489785671	3.5337929726
0.6209505173	0.5488480330	3.5338630676
0.6209621065	0.5486779809	3.5339543819
0.6209736806	0.5489994287	3.5337817669
0.6209852468	0.5492205620	3.5336630344
0.6209968152	0.5490633845	3.5337474346
0.6210083815	0.5494838357	3.5335216522
0.6210199588	0.5487312675	3.5339257717
0.6210315484	0.5488649011	3.5338540077
0.6210431056	0.5488235950	3.5338761806
0.6210546948	0.5493910313	3.5335714817
0.6210662710	0.5488902330	3.5338404179
0.6210778369	0.5490576029	3.5337505341
0.6210894336	0.5491801500	3.5336847305
0.6211009998	0.5491876602	3.5336806774
0.6211125779	0.5489643812	3.5338006020
0.6211241210	0.5493066907	3.5336167812
0.6211357010	0.5493013263	3.5336196423
0.6211472902	0.5491628051	3.5336940289
0.6211588476	0.5490114093	3.5337753296
0.6211704365	0.5489190817	3.5338249207
0.6211819965	0.5491867661	3.5336811543
