Day fraction since midnight on	t (s)	photometer (mg/L)	photometer (volts)
0.6506352606	476	3.473271847	2.192615986
0.65064685	477	3.421905279	2.212618113
0.6506584161	478	3.405830383	2.218901157
0.6506699829	479	3.399347067	2.221438408
0.650681572	480	3.366769791	2.234215021
0.6506931387	481	3.371010542	2.232549191
0.6507047051	482	3.358644724	2.237408876
0.6507162942	483	3.37412858	2.231324911
0.650727861	484	3.348953247	2.241222143
0.6507394504	485	3.349478245	2.241015434
0.6507510168	486	3.325576544	2.250437021
0.6507625832	487	3.316117525	2.254172564
0.6507741724	488	3.278452158	2.269085884
0.6507857391	489	3.283475876	2.267093182
0.6507973054	490	3.266879559	2.273680449
0.6508088949	491	3.248348236	2.281050205
0.6508204613	492	3.242660523	2.283315182
0.6508320277	493	3.22760725	2.289316654
0.6508436169	494	3.218824387	2.292822838
0.6508551835	495	3.214257002	2.294647455
0.6508667727	496	3.203354836	2.299006701
0.6508783394	497	3.17915082	2.308703423
0.6508899058	498	3.157797813	2.317279577
0.6509014722	499	3.153207541	2.319125891
0.6509130613	500	3.178513765	2.308959007
0.6509246277	501	3.139055252	2.324824095
0.6509361944	502	3.113712549	2.335050345
0.6509477839	503	3.11279273	2.335422039
0.6509593503	504	3.13701725	2.325645447
0.6509709164	505	3.096235275	2.342119455
0.6509825061	506	3.096596956	2.341973066
0.6509940726	507	3.088772535	2.345142126
0.6510056386	508	3.080607653	2.348452091
0.6510172284	509	3.04354167	2.363515854
0.6510287948	510	3.033508539	2.367604017
0.6510403612	511	3.04027319	2.364847183
0.6510519507	512	3.011322975	2.376660109
0.651063517	513	2.997956991	2.382126808
0.6510750834	514	2.991239309	2.384877443
0.6510866726	515	2.986228943	2.386930227
0.6510982393	516	2.953717232	2.400278807
0.6511098054	517	2.934961319	2.408001423
0.6511213952	518	2.917958498	2.415016174
0.6511329616	519	2.906285524	2.419839621
0.6511445276	520	2.890798569	2.426248789
0.6511561174	521	2.887148619	2.42776084
0.6511676838	522	2.880774498	2.430402994
0.6511792503	523	2.876405239	2.432215214
0.6511908394	524	2.858280659	2.43974185
0.6512024061	525	2.842554569	2.446284771
0.6512139725	526	2.819803476	2.455770731
0.6512255616	527	2.820461273	2.455496073
0.6512371283	528	2.81926322	2.455996275
0.6512486947	529	2.790719986	2.467931747
0.6512602841	530	2.782002449	2.471584559
0.6512718506	531	2.766874313	2.477931976
0.6512834169	532	2.766807318	2.47796011
0.6512950064	533	2.747692347	2.485995531
0.6513065959	534	2.725470066	2.495358706
0.6513181622	535	2.712897778	2.500666142
