Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6484391504	36.2335052490	-1.2167998552
0.6484507238	36.2790794373	-1.2172667980
0.6484623055	36.3142547607	-1.2176256180
0.6484738877	36.3476524353	-1.2179650068
0.6484854582	36.3961219788	-1.2184553146
0.6484970273	36.4356727600	-1.2188534737
0.6485086003	36.4676055908	-1.2191736698
0.6485201747	36.5088958740	-1.2195860147
0.6485317732	36.5600585938	-1.2200943232
0.6485433250	36.5949249268	-1.2204390764
0.6485548994	36.6268081665	-1.2207531929
0.6485664675	36.6687049866	-1.2211642265
0.6485780504	36.6916542053	-1.2213885784
0.6485896168	36.7353820801	-1.2218145132
0.6486011891	36.7868766785	-1.2223134041
0.6486127618	36.8137512207	-1.2225726843
0.6486243354	36.8470191956	-1.2228925228
0.6486359134	36.8871574402	-1.2232768536
0.6486474884	36.9146461487	-1.2235391140
0.6486590639	36.9545974731	-1.2239187956
0.6486706556	36.9993324280	-1.2243419886
0.6486822249	37.0205574036	-1.2245420218
0.6486937946	37.0566406250	-1.2248810530
0.6487053694	37.0978775024	-1.2252668142
0.6487169305	37.1350440979	-1.2256129980
0.6487284997	37.1669578552	-1.2259091139
0.6487400916	37.1948394775	-1.2261669636
0.6487516644	37.2444190979	-1.2266235352
0.6487632517	37.2605972290	-1.2267719507
0.6487748043	37.3126754761	-1.2272479534
0.6487863731	37.3251495361	-1.2273615599
0.6487979543	37.3713035583	-1.2277805805
0.6488095288	37.3970680237	-1.2280135155
0.6488211104	37.4403152466	-1.2284030914
0.6488326818	37.4590034485	-1.2285708189
0.6488442493	37.5156097412	-1.2290768623
0.6488558196	37.5280876160	-1.2291879654
0.6488673978	37.5657958984	-1.2295228243
0.6488789710	37.6066093445	-1.2298836708
0.6488905450	37.6366691589	-1.2301484346
0.6489021180	37.6717872620	-1.2304565907
0.6489136974	37.7181282043	-1.2308614254
0.6489252689	37.7422676086	-1.2310714722
0.6489368391	37.7843856812	-1.2314366102
0.6489484113	37.8150482178	-1.2317013741
0.6489599952	37.8679466248	-1.2321560383
0.6489715643	37.8805999756	-1.2322643995
0.6489831467	37.9045333862	-1.2324689627
0.6489947162	37.9421997070	-1.2327897549
0.6490062857	37.9714469910	-1.2330379486
0.6490178611	37.9984626770	-1.2332664728
0.6490294406	38.0289840698	-1.2335238457
0.6490410168	38.0623092651	-1.2338038683
0.6490525950	38.0966148376	-1.2340910435
0.6490641691	38.1268692017	-1.2343434095
0.6490757444	38.1389579773	-1.2344440222
0.6490873014	38.1962814331	-1.2349191904
0.6490988853	38.2291297913	-1.2351901531
0.6491104515	38.2673187256	-1.2355039120
0.6491220370	38.2959671021	-1.2357383966
0.6491336075	38.3260345459	-1.2359837294
0.6491451892	38.3324775696	-1.2360361814
0.6491567555	38.3837203979	-1.2364521027
0.6491683361	38.4223937988	-1.2367644310
0.6491799094	38.4469985962	-1.2369624376
0.6491914650	38.4766502380	-1.2372003794
0.6492030571	38.5007324219	-1.2373930216
0.6492146315	38.5333366394	-1.2376530170
0.6492262023	38.5610389709	-1.2378731966
0.6492377682	38.5939178467	-1.2381336689
0.6492493554	38.5991821289	-1.2381752729
0.6492609231	38.6503295898	-1.2385783195
0.6492725156	38.6687507629	-1.2387229204
0.6492840611	38.6739692688	-1.2387638092
0.6492956534	38.7255744934	-1.2391670942
0.6493072270	38.7434883118	-1.2393065691
0.6493187974	38.7873611450	-1.2396469116
0.6493303595	38.8046722412	-1.2397807837
0.6493419370	38.8215103149	-1.2399107218
0.6493535109	38.8500061035	-1.2401300669
0.6493650807	38.8857345581	-1.2404041290
0.6493766564	38.9059410095	-1.2405586243
0.6493882544	38.9340934753	-1.2407733202
0.6493998131	38.9799880981	-1.2411218882
0.6494113911	38.9807586670	-1.2411277294
0.6494229700	39.0439567566	-1.2416048050
0.6494345226	39.0589790344	-1.2417176962
0.6494461166	39.0643768311	-1.2417582273
0.6494576907	39.0970458984	-1.2420029640
0.6494692510	39.1426086426	-1.2423428297
0.6494808225	39.1531257629	-1.2424210310
0.6494924055	39.1593666077	-1.2424674034
0.6495039738	39.1985549927	-1.2427577972
0.6495155586	39.2487030029	-1.2431275845
0.6495271273	39.2619743347	-1.2432250977
0.6495387219	39.2944869995	-1.2434633970
0.6495502838	39.3061943054	-1.2435489893
0.6495618600	39.3355636597	-1.2437632084
0.6495734331	39.3601150513	-1.2439417839
0.6495850080	39.4068489075	-1.2442803383
0.6495965808	39.4097862244	-1.2443015575
0.6496081519	39.4471969604	-1.2445712090
0.6496197249	39.4544563293	-1.2446234226
0.6496312963	39.5108413696	-1.2450274229
0.6496428908	39.5003013611	-1.2449520826
0.6496544470	39.5595245361	-1.2453742027
0.6496660225	39.5584487915	-1.2453665733
0.6496775793	39.5872039795	-1.2455705404
0.6496891758	39.6140899658	-1.2457606792
0.6497007478	39.6191215515	-1.2457962036
0.6497123142	39.6353683472	-1.2459107637
0.6497238987	39.6683082581	-1.2461423874
